"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p.adj","otu","domain","phylum","class","order","family","genus","sp","highest","group","mean.N"
"4371996",0.661116762757083,0.322275549855766,1.14062526931108,0.0797706549573149,0.7776084528733,0.854554933416571,0.86038849906462,"4371996","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales",NA,NA,NA,"999","Within.R",31.1771928198239
"568129",2.08633834870723,0.231698280645569,0.820486630035171,0.0797219579580997,0.777674558783938,0.854554933416571,0.86038849906462,"568129","Archaea","Crenarchaeota","MBGB",NA,NA,NA,NA,"999","Within.R",51.9854260990621
"2618271",0.569960123620922,0.369623694114067,1.31107002470447,0.07935598412746,0.778172065271591,0.85462561008362,0.860445216999878,"2618271","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae",NA,NA,"999","Within.R",29.2032635581085
"1122275",0.177324289467375,-0.466796178874886,1.65405835938059,0.0792604417399616,0.778302149766381,0.85462561008362,0.860445216999878,"1122275","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,"999","Within.R",5.09865585575144
"654592",0.153665293438788,-0.560230537837776,1.99674155969982,0.0794152649696684,0.778091394699541,0.85462561008362,0.860445216999878,"654592","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae",NA,NA,"999","Within.R",11.5296339743849
"4312284",0.0710389999496516,-0.598098168694706,2.30530624038961,0.079452495159444,0.778040747716221,0.85462561008362,0.860445216999878,"4312284","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,"999","Within.R",3.13058587009078
"3332941",0.909660420336137,-0.38868809204762,1.37870872456002,0.0791190748442432,0.778494781346303,0.854682494209608,0.860445216999878,"3332941","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"999","Within.R",72.8114953406069
"212812",0.464022498162851,0.393660769889193,1.40203753977436,0.0787838560104319,0.778952306045503,0.854720944746005,0.860445216999878,"212812","Bacteria","Cyanobacteria","Gloeobacterophycideae","Gloeobacterales","Gloeobacteraceae","Gloeobacter",NA,"999","Within.R",34.0576811352712
"84937",0.886273435069814,-0.305889391920879,1.08746814477552,0.0788430883409319,0.778871386294884,0.854720944746005,0.860445216999878,"84937","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA,"999","Within.R",41.2028491923683
"814962",0.417045068942394,-0.362956682025255,1.29032473271179,0.0788491509852065,0.778863105714586,0.854720944746005,0.860445216999878,"814962","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,"999","Within.R",26.430168579313
"719343",1.08635103111387,0.299997432180255,1.07159493927541,0.0783723812630797,0.779515346772931,0.854767824387327,0.860512537606858,"719343","Bacteria","Cyanobacteria","Nostocophycideae","Nostocales","Nostocaceae","Nodularia",NA,"999","Within.R",55.3735401888672
"586081",0.788191804576695,-0.31802859083039,1.13448878903183,0.0783409680293516,0.779558396438269,0.854767824387327,0.860512537606858,"586081","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae",NA,NA,"999","Within.R",76.7029698753708
"4423673",1.20938479699971,-0.273133314472171,0.973433485113768,0.0785105971617668,0.779326041877878,0.854767824387327,0.860512537606858,"4423673","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,"999","Within.R",32.5063631943951
"4404061",0.809596095627033,0.369246559796922,1.31713062132556,0.0785234121647136,0.779308499148494,0.854767824387327,0.860512537606858,"4404061","Bacteria","Verrucomicrobia","[Methylacidiphilae]","Methylacidiphilales","LD19",NA,NA,"999","Within.R",42.3379842211867
"4477865",0.225820760362607,0.424005771536563,1.52356466621229,0.0772619619460215,0.78104278790574,0.856240729732647,0.862000378052236,"4477865","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,"999","Within.R",5.45066959028921
"305117",0.161247292394858,-0.514191203560238,1.85942331921069,0.0768620195588596,0.781595824634079,0.856692262904863,0.862459985449069,"305117","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","OM60",NA,NA,"999","Within.R",8.75720921652703
"4360967",0.12169645025597,0.687098980463714,2.47151725451772,0.0766680376388535,0.781864619140544,0.856832136793782,0.862605837017892,"4360967","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA,"999","Within.R",8.70313878251454
"3154121",1.41190660405227,0.203163695686678,0.736489362037951,0.0760824775518358,0.782678238646477,0.857447886758462,0.863085052854475,"3154121","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales",NA,NA,NA,"999","Within.R",65.0616785872861
"56491",20.5124402254634,0.255623137634816,0.926725793519853,0.0760603420951611,0.782709061236098,0.857447886758462,0.863085052854475,"56491","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,"999","Within.R",683.696736675337
"1110799",0.0726019175428512,0.715747251385288,2.53812067623437,0.0759144390803215,0.782912345221585,0.857515795551308,0.86315846826071,"1110799","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiopilula","aggregata","999","Within.R",4.100357973346
"511931",2.56605485611211,-0.23318817194822,0.846113881117305,0.0758110768624647,0.783056485119307,0.857518911618382,0.8631666632408,"511931","Bacteria","Tenericutes","Mollicutes",NA,NA,NA,NA,"999","Within.R",115.141712950658
"140731",0.153831526606042,-0.569601245364494,2.08129426716368,0.075459134277196,0.783548067752716,0.857902439688118,0.863407068026292,"140731","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Ulvibacter",NA,"999","Within.R",16.4895088518518
"293440",1.30309058719269,0.216476852961848,0.793560118713511,0.0744276093107601,0.784996013045625,0.859332756705248,0.864851653528193,"293440","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Fluviicola",NA,"999","Within.R",66.2139337355649
"207631",13.2898177247772,0.261276171410123,0.963114251440206,0.0735680061866333,0.786210889540778,0.860091060011503,0.865484278506361,"207631","Bacteria","Cyanobacteria","Gloeobacterophycideae","Gloeobacterales","Gloeobacteraceae","Gloeobacter",NA,"999","Within.R",473.65593337526
"653033",0.0666498191730076,-0.620487418155675,2.53538313809167,0.0736473026911426,0.786098501800968,0.860091060011503,0.865484278506361,"653033","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",NA,NA,"999","Within.R",3.67353395825958
"735763",0.548281257055987,-0.369448432604357,1.35976091937459,0.0735364770605429,0.786255594157822,0.860091060011503,0.865484278506361,"735763","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,"999","Within.R",34.9057784223949
"816368",0.550725216545049,0.329015653843119,1.21188022550628,0.0736472898262264,0.786098520029274,0.860091060011503,0.865484278506361,"816368","Bacteria","Planctomycetes","Phycisphaerae","MSBL9",NA,NA,NA,"999","Within.R",23.1931212842743
"545300",0.35590318635834,-0.426332279746067,1.57304768009518,0.0730526924267565,0.78694283837766,0.860687706994778,0.866089782380434,"545300","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae",NA,NA,"999","Within.R",17.5599481220842
"568793",0.423093862583281,0.30421241423589,1.13449933915844,0.0718789238713953,0.788620459769902,0.861822810483485,0.867257595294631,"568793","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfotalea",NA,"999","Within.R",12.9165722997132
"2595728",1.0534349307405,0.243632377531329,0.907015613191974,0.0721254817326553,0.78826685255657,0.861822810483485,0.867244625726117,"2595728","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,"999","Within.R",26.5249293674318
"3741114",0.150256450150899,-0.514592427174582,1.92738723096402,0.0721406410319219,0.78824513262185,0.861822810483485,0.867244625726117,"3741114","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"999","Within.R",9.13349911418738
"527288",0.128926337956434,-0.553082023529207,2.08684102865594,0.0718299981286066,0.788690705128567,0.861822810483485,0.867257595294631,"527288","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Muricauda",NA,"999","Within.R",7.55785601622194
"107501",0.0862583220753636,-0.560878288501313,2.18836332432479,0.0719298708471854,0.788547339646527,0.861822810483485,0.867257595294631,"107501","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",NA,"999","Within.R",5.04622843388919
"845561",4.75903487942548,-0.157112244813422,0.586766313376042,0.0716208871772324,0.788991226501486,0.861995995254279,0.867436984873826,"845561","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,"999","Within.R",169.294654094125
"408513",0.228984351475197,0.61968773677871,2.31263406118623,0.0713817567155957,0.789335466853307,0.862216873350022,0.867664369378792,"408513","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA,"999","Within.R",24.6635877365115
"194319",0.109515631991774,0.585193564152935,2.17647980085751,0.0711909570534885,0.789610575932404,0.862362171195566,0.867815696507781,"194319","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA,NA,"999","Within.R",10.6749473174468
"226125",0.163701729932352,0.495335258543382,1.86029831588461,0.0707057106427555,0.790312024330966,0.862972953520085,0.86843545451196,"226125","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga",NA,"999","Within.R",13.1329724627976
"362891",66.661569854332,-0.0914555241163718,0.344604167768856,0.0703974430384733,0.790758980341791,0.863150404980995,0.868624252240444,"362891","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,"999","Within.R",2032.02390502632
